,source,disaster_type,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime,report_type,fireDistance,points,fireLocation_lat,fireLocation_long,personLocation_lat,personLocation_long,fireRadius_lat,fireRadius_long
0,grasp,fire,Jatisari,Tanjungsari,Sumedang,Jawa Barat,107.79563999999999,-6.90861,2020-10-12 12:44:28,fire,21.340776,-1,-6.908612,107.795641,-6.91504,107.699729,-6.908621,107.795448
1,grasp,fire,Paledang,Bogor Tengah,Bogor,Jawa Barat,106.79571000000001,-6.6049,2021-02-02 02:10:44,fire,168.691582,-1,-6.604899,106.795706,-6.60483,106.795022,-6.604843,106.79418
2,grasp,fire,Paledang,Bogor Tengah,Bogor,Jawa Barat,106.79557,-6.60487,2021-02-02 02:33:32,fire,210.242383,-1,-6.60487,106.795566,-6.604755,106.795062,-6.60479,106.793665
3,grasp,fire,Paledang,Bogor Tengah,Bogor,Jawa Barat,106.79543000000001,-6.6049,2021-02-02 02:35:27,fire,143.741845,-1,-6.604904,106.795427,-6.604878,106.795175,-6.604939,106.794126
4,grasp,fire,Paledang,Bogor Tengah,Bogor,Jawa Barat,106.79573,-6.60493,2021-02-02 02:44:00,fire,181.641837,-1,-6.604931,106.795727,-6.604896,106.795151,-6.60496,106.794083
5,grasp,fire,Paledang,Bogor Tengah,Bogor,Jawa Barat,106.79536999999999,-6.604889999999999,2021-02-02 03:11:00,fire,167.513105,-1,-6.604891,106.795365,-6.604838,106.795126,-6.604726,106.793858
6,grasp,fire,Paledang,Bogor Tengah,Bogor,Jawa Barat,106.79523,-6.60492,2021-02-02 03:27:33,fire,204.013731,-1,-6.604915,106.795231,-6.605014,106.795363,-6.604992,106.793386
7,grasp,fire,Senen,Senen,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.83663,-6.17571,2021-09-04 08:26:20,fire,261.204693,-1,-6.175713,106.836634,-6.175392,106.827153,-6.175158,106.83893
8,grasp,fire,Sungai Putri,Matan Hilir Utara,Ketapang,Kalimantan Barat,110.05245,-1.62361,2021-07-30 03:37:15,fire,62.010685,-1,-1.623613,110.052452,-1.678265,110.183258,-1.623613,110.051894
9,grasp,fire,Tote,Bolang Itang Barat,Bolaang Mongondow Utara,Sulawesi Utara,123.3359957,0.9020433000000001,2021-10-28 07:46:32,fire,125.96796,0,0.902043,123.335996,0.902022,123.336017,0.90273,123.335094
10,grasp,fire,Sangkub I,Sangkub,Bolaang Mongondow Utara,Sulawesi Utara,123.6494493,0.8825084000000001,2021-10-29 17:01:34,fire,119.505544,1,0.882508,123.649449,0.879687,123.644557,0.882015,123.650404
11,grasp,fire,Pasar Prabumulih,Prabumulih Utara,Prabumulih,Sumatera Selatan,104.2419601,-3.42820827,2021-02-11 08:39:47,fire,54.609869,-1,-3.428208,104.24196,-3.426955,104.242444,-3.428669,104.241788
